	true	false	gap	ext	matrix	t_min	f_min
150	0.7	0.62	11	3	MATIO	2.8479399754642647	5.480977371001457
151	0.7	0.62	12	3	MATIO	2.831038129532357	5.464460578607941
152	0.7	0.62	13	3	MATIO	2.8196433661768463	5.452882680613844
153	0.7	0.62	14	3	MATIO	2.8114719811559725	5.44561020515446
154	0.7	0.62	15	3	MATIO	2.8051800866529395	5.442060098643676
155	0.7	0.62	16	3	MATIO	2.801660352313235	5.440553421220294
156	0.7	0.62	17	3	MATIO	2.7991860032916906	5.440769593920135
157	0.7	0.62	18	3	MATIO	2.79744783929724	5.441272532584703
158	0.7	0.64	19	3	MATIO	2.7971941302940775	5.518791397154255
159	0.7	0.64	20	3	MATIO	2.7979271201595317	5.521493589010097
160	0.7	0.56	1	4	MATIO	5.043781722359204	7.7065424476490065
161	0.7	0.56	2	4	MATIO	4.713358788366921	7.447673953993115
162	0.7	0.58	3	4	MATIO	4.408394293219333	7.471258594467032
163	0.7	0.6	4	4	MATIO	4.130192375604605	7.367438250182796
164	0.7	0.6	5	4	MATIO	3.881763312576668	7.156004523461542
165	0.7	0.64	6	4	MATIO	3.655638849120893	7.338690103543696
166	0.7	0.64	7	4	MATIO	3.4525469451317328	7.158419282940318
167	0.7	0.64	8	4	MATIO	3.2733214819354504	6.9985315070265015
168	0.7	0.64	9	4	MATIO	3.2078467541453812	6.931388311305401
169	0.7	0.64	10	4	MATIO	3.157725902913287	6.873213037498386
170	0.7	0.64	11	4	MATIO	3.1170455903073533	6.8233022950174
171	0.7	0.64	12	4	MATIO	3.085240470668093	6.783687460193149
172	0.7	0.64	13	4	MATIO	3.0608847302147666	6.753212103934667
173	0.7	0.64	14	4	MATIO	3.0410554572381017	6.732852309852396
174	0.7	0.64	15	4	MATIO	3.02732784773915	6.717735649493301
175	0.7	0.66	16	4	MATIO	3.0183212456233837	6.816296415630486
176	0.7	0.66	17	4	MATIO	3.0123627034372475	6.80956585197489
177	0.7	0.66	18	4	MATIO	3.009093362254477	6.806564956980559
178	0.7	0.66	19	4	MATIO	3.0071726095616977	6.806439271081566
179	0.7	0.68	20	4	MATIO	3.005933611804324	6.905994440723702
180	0.7	0.56	1	5	MATIO	5.820482869224033	9.264438803158225
181	0.68	0.58	2	5	MATIO	5.35253974570376	9.322611472143
182	0.7	0.58	3	5	MATIO	5.161569794293815	9.056137127465423
183	0.7	0.6	4	5	MATIO	4.858714387661687	8.954853570342888
184	0.7	0.6	5	5	MATIO	4.577490406265834	8.716490051061646
185	0.7	0.64	6	5	MATIO	4.332655090740492	8.94403657215029
186	0.7	0.64	7	5	MATIO	4.098576625365791	8.735316388087286
187	0.7	0.64	8	5	MATIO	3.882028706863919	8.54655193348945
188	0.7	0.64	9	5	MATIO	3.6865310486596274	8.378101698204132
189	0.7	0.64	10	5	MATIO	3.515216325363074	8.2261767136482
190	0.7	0.68	11	5	MATIO	3.472477555901401	8.366701432597342
191	0.7	0.7	12	5	MATIO	3.4222006961751985	8.45238699748998
192	0.7	0.7	13	5	MATIO	3.3799429717676843	8.40176541930168
193	0.7	0.7	14	5	MATIO	3.34863503159084	8.362500887463112
194	0.7	0.7	15	5	MATIO	3.321607985233007	8.330677768805101
195	0.7	0.7	16	5	MATIO	3.301514689293864	8.30628564793101
196	0.7	0.7	17	5	MATIO	3.2856068067662885	8.288135283376711
197	0.7	0.7	18	5	MATIO	3.2743457426022062	8.274724076352069
198	0.7	0.7	19	5	MATIO	3.2658788224869237	8.265376568535936
199	0.7	0.7	20	5	MATIO	3.235688576664024	8.260981730504955
200	0.7	0.56	1	1	BLOSUM62	1.2808813897830824	1.8727611954806285
201	0.68	0.58	2	1	BLOSUM62	0.9559140497343921	1.7063911354769832
202	0.68	0.6	3	1	BLOSUM62	0.8530392720495074	1.6938476237676412
203	0.7	0.62	4	1	BLOSUM62	0.8122471340533004	1.666353055729517
204	0.7	0.62	5	1	BLOSUM62	0.7770070076902192	1.6308890126941091
205	0.7	0.62	6	1	BLOSUM62	0.7517747699139377	1.6067364550788286
206	0.68	0.62	7	1	BLOSUM62	0.713550104644759	1.590397264842632
207	0.7	0.62	8	1	BLOSUM62	0.7280941632727072	1.5783137422747535
208	0.7	0.6	9	1	BLOSUM62	0.7247561080685148	1.5578434213380379
209	0.7	0.6	10	1	BLOSUM62	0.7238528110261773	1.5561600300381222
210	0.7	0.6	11	1	BLOSUM62	0.7244845933218399	1.5563673941757785
211	0.7	0.58	12	1	BLOSUM62	0.7264633790131098	1.547426978487198
212	0.7	0.58	13	1	BLOSUM62	0.7288755858287103	1.5507650727115447
213	0.7	0.58	14	1	BLOSUM62	0.73128779264431	1.5552848494480491
214	0.7	0.58	15	1	BLOSUM62	0.7341737944885687	1.5608625572849104
215	0.7	0.58	16	1	BLOSUM62	0.7370597963328271	1.56660555437797
216	0.7	0.56	17	1	BLOSUM62	0.7400287857289528	1.555657091415933
217	0.7	0.56	18	1	BLOSUM62	0.743359176877356	1.5622292896109213
218	0.7	0.56	19	1	BLOSUM62	0.7472023885385792	1.5688014878059091
219	0.7	0.56	20	1	BLOSUM62	0.7510456001998033	1.5753736860008969
220	0.7	0.58	1	2	BLOSUM62	1.9703854369051994	3.508042132254752
221	0.7	0.64	2	2	BLOSUM62	1.6460948284512034	3.4718246357373914
222	0.7	0.64	3	2	BLOSUM62	1.3564637090222162	3.216588595367387
223	0.7	0.64	4	2	BLOSUM62	1.1224721639309534	2.9994637812976515
224	0.7	0.7	5	2	BLOSUM62	1.0465196469257319	3.05025836119713
225	0.7	0.78	6	2	BLOSUM62	0.9995772200315858	3.1041845593366406
226	0.7	0.74	7	2	BLOSUM62	0.9643372377838705	3.01564383099165
227	0.7	0.76	8	2	BLOSUM62	0.9597867445326819	3.0058474968648228
228	0.7	0.78	9	2	BLOSUM62	0.947641328538094	3.008102731288442
229	0.7	0.78	10	2	BLOSUM62	0.9411748084450537	2.9936533725240544
230	0.7	0.78	11	2	BLOSUM62	0.9374430129484229	2.9870040643623135
231	0.7	0.78	12	2	BLOSUM62	0.9370494011106366	2.988483345233573
232	0.7	0.78	13	2	BLOSUM62	0.9376286362133146	2.992673507688064
233	0.7	0.78	14	2	BLOSUM62	0.9386437075152442	2.999031500818798
234	0.68	0.78	15	2	BLOSUM62	0.9255430382430073	3.006046295255988
235	0.7	0.78	16	2	BLOSUM62	0.9407503820420726	3.014151859718607
236	0.7	0.78	17	2	BLOSUM62	0.9433327456850372	3.0227470075145595
237	0.7	0.78	18	2	BLOSUM62	0.9463641433582458	3.0313421553105115
238	0.7	0.78	19	2	BLOSUM62	0.9500871181675096	3.0399373031064636
239	0.7	0.78	20	2	BLOSUM62	0.9538100929767731	3.048646736616702
240	0.7	0.64	1	3	BLOSUM62	2.7731642450082523	5.50238218707803
241	0.7	0.64	2	3	BLOSUM62	2.4378948116269807	5.1997786532479395
242	0.7	0.68	3	3	BLOSUM62	2.1214992139272617	5.043440766631338
243	0.7	0.72	4	3	BLOSUM62	1.8299562873756392	4.880866956748496
244	0.7	0.72	5	3	BLOSUM62	1.5723615996243743	4.676560674160885
245	0.68	0.76	6	3	BLOSUM62	1.3481307707917989	4.512699046248679
246	0.7	0.82	7	3	BLOSUM62	1.3480391495929507	4.5267243736124545
247	0.7	0.78	8	3	BLOSUM62	1.294495009509179	4.416318696770927
248	0.7	0.82	9	3	BLOSUM62	1.2553679280833676	4.455061638926384
249	0.7	0.8	10	3	BLOSUM62	1.271528972210188	4.392188906462117
250	0.68	0.78	11	3	BLOSUM62	1.2403793970803556	4.359263380056491
251	0.7	0.78	12	3	BLOSUM62	1.2617553318535062	4.344588200260213
252	0.7	0.76	13	3	BLOSUM62	1.2601766837541155	4.3133609588174595
253	0.7	0.76	14	3	BLOSUM62	1.2605397659598692	4.308580536761085
254	0.68	0.76	15	3	BLOSUM62	1.2432305068630807	4.3090674872768675
255	0.7	0.76	16	3	BLOSUM62	1.2590072686144496	4.313051613097472
256	0.7	0.74	17	3	BLOSUM62	1.2618384464891148	4.310041402734999
257	0.7	0.74	18	3	BLOSUM62	1.2650755676381775	4.31775912502363
258	0.7	0.74	19	3	BLOSUM62	1.2688904443649955	4.325609297643389
259	0.7	0.74	20	3	BLOSUM62	1.2727053210918142	4.3342485913660305
260	0.7	0.64	1	4	BLOSUM62	3.6310664156740358	7.287643529191602
261	0.7	0.64	2	4	BLOSUM62	3.288207932575584	6.977339133453117
262	0.7	0.64	3	4	BLOSUM62	2.955201835571488	6.679616566446067
263	0.7	0.72	4	4	BLOSUM62	2.6398912022484877	6.7244216826470335
264	0.7	0.72	5	4	BLOSUM62	2.344644822897257	6.426934019191316
265	0.7	0.76	6	4	BLOSUM62	2.0767213911100875	6.336488547230265
266	0.7	0.76	7	4	BLOSUM62	1.8311683118001547	6.073839313028156
267	0.7	0.82	8	4	BLOSUM62	1.6460604783652828	5.97582232307224
268	0.7	0.8	9	4	BLOSUM62	1.627211128553644	5.860645628720619
269	0.68	0.82	10	4	BLOSUM62	1.548385023460328	5.864565426296493
270	0.7	0.84	11	4	BLOSUM62	1.578422192074335	5.843840749020168
271	0.7	0.82	12	4	BLOSUM62	1.553424972219342	5.770748831173022
272	0.7	0.82	13	4	BLOSUM62	1.5429703814911477	5.746263541858842
273	0.7	0.8	14	4	BLOSUM62	1.54569577163831	5.7162163904683405
274	0.7	0.8	15	4	BLOSUM62	1.5412582092548308	5.703310030923632
275	0.7	0.8	16	4	BLOSUM62	1.5394731972700604	5.6946592666191655
276	0.7	0.78	17	4	BLOSUM62	1.539645764707543	5.662654617689697
277	0.7	0.78	18	4	BLOSUM62	1.5421532821270025	5.661996651027185
278	0.7	0.76	19	4	BLOSUM62	1.5454402867259487	5.639911503644993
279	0.7	0.76	20	4	BLOSUM62	1.5489870315846348	5.646473354715769
280	0.7	0.62	1	5	BLOSUM62	4.526861637217699	8.96897094002384
281	0.7	0.64	2	5	BLOSUM62	4.181931523889192	8.80020509216545
282	0.7	0.64	3	5	BLOSUM62	3.843634992901309	8.495542796236768
283	0.7	0.64	4	5	BLOSUM62	3.513787247901437	8.199139512456881
284	0.7	0.72	5	5	BLOSUM62	3.19423052528356	8.31230766970753
285	0.7	0.74	6	5	BLOSUM62	2.886054898102882	8.088280786767799
286	0.7	0.76	7	5	BLOSUM62	2.6023707476444624	7.946839514707396
287	0.7	0.78	8	5	BLOSUM62	2.343399574288083	7.7306186464690665
288	0.7	0.8	9	5	BLOSUM62	2.1247965172679812	7.527429130585583
289	0.68	0.82	10	5	BLOSUM62	1.967535021192046	7.3330759481610395
290	0.7	0.82	11	5	BLOSUM62	1.9200534797029123	7.30776192721549
291	0.7	0.84	12	5	BLOSUM62	1.9156560786195052	7.267438882332695
292	0.7	0.88	13	5	BLOSUM62	1.8957513610175787	7.308134748198978
